 PNO    #ACKs
 42153    0
 35412    0
 45123    0
 51432    0
 51342    0
 51423    0
 41253    0
 53142    0
 52431    0
 53421    0
 42351    0
 42135    0
 41235    0
 51324    0
 53124    0
 42315    0
 45213    0
 52413    0
 45321    0
 45231    0
 54132    0
 54312    0
 53241    0
 32154    1
 43215    0
 25413    1
 54123    1
 41532    1
 41523    1
 51243    1
 43521    1
 52341    1
 52134    1
 51234    1
 52314    1
 54213    1
 54321    1
 54231    1
 43251    1
 12354    1
 21354    1
 31254    1
 15423    1
 13254    1
 35421    1
 23154    1
 25431    1
 43152    1
 15432    1
 34152    1
 45132    1
 24153    1
 35142    1
 14253    1
 25143    1
 34251    1
 15243    1
 24351    1
 35241    1
 14352    1
 25341    1
 41352    1
 15342    1
 31452    1
 45312    1
 21453    1
 25314    1
 12453    1
 15324    1
 32451    1
 35124    1
 25134    1
 15234    1
 34125    1
 35214    1
 24135    1
 14235    1
 34215    1
 24315    1
 14325    1
 41325    1
 23451    2
 31425    1
 13452    1
 21435    1
 53412    1
 12435    1
 43512    1
 32415    1
 34512    2
 23415    1
 14532    2
 13425    1
 53214    2
 43125    1
 23145    1
 13245    1
 31245    1
 21345    1
 12345    1
 32145    1
 24531    2
 34521    2
 14523    1
 24513    2
 42513    2
 32514    2
 23514    1
 13524    2
 31524    2
 21534    2
 12534    2
 42531    2
 32541    2
 23541    2
 13542    2
 31542    3
 21543    3
 12543    1
 52143    2
The star machine has been reset
