 PNO    #ACKs
 12345    2
 12354    1
 12435    2
 12453    1
 12534    1
 12543    1
 13245    2
 13254    1
 13425    2
 13452    1
 13524    1
 13542    1
 14235    3
 14253    1
 14325    3
 14352    1
 14523    1
 14532    1
 15234    1
 15243    1
 15324    1
 15342    1
 15423    1
 15432    1
 21345    2
 21354    1
 21435    2
 21453    1
 21534    1
 21543    1
 23145    2
 23154    1
 23415    1
 23451    1
 23514    1
 23541    1
 24135    2
 24153    1
 24315    1
 24351    1
 24513    1
 24531    1
 25134    1
 25143    1
 25314    1
 25341    1
 25413    1
 25431    1
 31245    1
 31254    1
 31425    2
 31452    1
 31524    1
 31542    1
 32145    2
 32154    1
 32415    2
 32451    1
 32514    1
 32541    1
 34125    2
 34152    1
 34215    3
 34251    1
 34512    1
 34521    1
 35124    1
 35142    1
 35214    1
 35241    1
 35412    2
 35421    1
 41235    1
 41253    1
 41325    1
 41352    1
 41523    0
 41532    1
 42135    2
 42153    0
 42315    2
 42351    0
 42513    0
 42531    0
 43125    1
 43152    1
 43215    1
 43251    0
 43512    1
 43521    0
 45123    0
 45132    0
 45213    1
 45231    1
 45312    0
 45321    0
 51234    0
 51243    1
 51324    0
 51342    0
 51423    1
 51432    0
 52134    0
 52143    1
 52314    0
 52341    1
 52413    1
 52431    1
 53124    0
 53142    0
 53214    0
 53241    1
 53412    1
 53421    1
 54123    1
 54132    1
 54213    0
 54231    0
 54312    1
 54321    1
The star machine has been reset
